Company_name,Description,Ratings,Highly_rated_for,Critically_rated_for,Total_reviews,Avg_salary,Interviews_taken,Total_jobs_available,Total_benefits
Angel One,Financial Services | 1k-5k Employees | Mumbai +113 more,3.9,"Company Culture, Work Life Balance",Promotions / Appraisal,1.3k,6.9k,79,89,155
SBI Securities,Financial Services | 5k-10k Employees | 18 years old | Mumbai +213 more,3.9,Promotions / Appraisal,,1.3k,5.3k,103,143,109
Bhushan Power & Steel,Iron & Steel | 5k-10k Employees | 54 years old | Delhi/NCR +52 more,4.0,Skill Development / Learning,Promotions / Appraisal,1.3k,4.8k,35,--,170
Reckitt Benckiser,FMCG | 1k-5k Employees | Conglomerate | 25 years old | Slough +115 more,4.0,"Salary & Benefits, Work Life Balance, Company Culture",Promotions / Appraisal,1.3k,5.8k,57,41,180
CitiusTech,IT Services & Consulting | 1k-5k Employees | Indian Unicorn | 19 years old | New Jersey +14 more,3.5,"Promotions / Appraisal, Job Security, Work Satisfaction",,1.3k,11.8k,137,76,171
Matrimony.com,Internet | 1k-5k Employees | Public | 27 years old | Chennai +49 more,4.4,"Company Culture, Job Security, Work Satisfaction",,1.3k,4.1k,57,130,85
XL Dynamics,IT Services & Consulting | 1k-5k Employees | 22 years old | Navi Mumbai +27 more,3.2,"Job Security, Company Culture, Work Life Balance",,1.3k,3.8k,94,--,211
Bharat Financial Inclusion,NBFC | 10k-50k Employees | Public | 26 years old | Hyderabad +312 more,4.1,"Salary & Benefits, Company Culture, Job Security",,1.3k,3.5k,39,6,187
Motherson Automotive Technologies and Engineering,Auto Components | 501-1k Employees | 27 years old | Noida +55 more,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,1.3k,6.2k,80,8,165
USV,Pharma | 1k-5k Employees | Fortune India 500 | 63 years old | Mumbai +87 more,4.1,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,1.3k,5k,56,21,182
Procter & Gamble,FMCG | 1k-5k Employees | Public | 187 years old | Cincinnati +203 more,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",,1.3k,5.4k,72,30,171
Yamaha Motor,Automobile | 1k-5k Employees | Fortune India 500 | 17 years old | Iwata +125 more,4.2,"Work Life Balance, Skill Development / Learning, Work Satisfaction",,1.3k,6.1k,36,--,187
HERE Technologies,IT Services & Consulting | 1k-5k Employees | 39 years old | Eindhoven +13 more,3.8,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",1.3k,7.8k,50,37,297
Adecco Group,Recruitment | 1k-5k Employees | Forbes Global 2000 | 25 years old | Zurich +126 more,3.8,"Promotions / Appraisal, Job Security",,1.3k,6k,59,189,138
Dainik Bhaskar Group Of Publication,Printing & Publishing | 5k-10k Employees | Public | 66 years old | Bhopal +128 more,4.4,"Company Culture, Skill Development / Learning, Work Life Balance",,1.3k,4.9k,37,92,154
Cavinkare,FMCG | 1k-5k Employees | Conglomerate | 41 years old | Chennai +148 more,4.0,"Work Life Balance, Skill Development / Learning, Company Culture",,1.3k,4.8k,34,4,147
Aditya Birla Capital,Financial Services | 10k-50k Employees | Public | 7 years old | Mumbai +183 more,4.0,"Job Security, Work Life Balance, Company Culture",,1.3k,7.9k,91,16,166
USHA International,Consumer Electronics & Appliances | 1k-5k Employees | Public | 90 years old | Gurgaon/Gurugram +111 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,1.3k,4.6k,57,11,162
Mercedes-Benz Research & Development India,IT Services & Consulting | 5k-10k Employees | Public | 28 years old | Bengaluru/Bangalore +48 more,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1.3k,14.7k,129,3,227
Team Computers,IT Services & Consulting | 1k-5k Employees | 37 years old | Delhi/NCR +83 more,3.7,"Promotions / Appraisal, Salary & Benefits",,1.3k,7.1k,62,59,123
KONE,Industrial Machinery | 5k-10k Employees | Forbes Global 2000 | 114 years old | Chennai +65 more,4.3,"Job Security, Company Culture, Work Life Balance",,1.3k,5.2k,65,27,198
Isgec Heavy Engineering,Industrial Machinery | 1k-5k Employees | Public | 91 years old | Noida +69 more,3.9,Job Security,Promotions / Appraisal,1.3k,6.2k,77,17,144
NTPC,10k-50k Employees | Fortune India 500 | 49 years old | Delhi/NCR +100 more,4.3,"Skill Development / Learning, Company Culture, Work Life Balance",,1.3k,3.6k,126,--,183
DHL Supply Chain,Logistics | 1k-5k Employees | 55 years old | Bonn +78 more,4.2,"Job Security, Company Culture, Skill Development / Learning",,1.3k,5k,58,28,147
Honeywell Technology Solutions,Defence & Aerospace | 10k-50k Employees | 30 years old | Bangalore/Bengaluru +18 more,3.9,"Job Security, Company Culture",Promotions / Appraisal,1.3k,12.6k,90,3,214
Torrent Power,Power | 5k-10k Employees | Public | 28 years old | Ahmedabad +37 more,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.3k,6.3k,87,14,165
PI Industries,Agro Chemicals | 1k-5k Employees | Public | 77 years old | Gurgaon/Gurugram +87 more,4.1,"Skill Development / Learning, Salary & Benefits, Job Security",,1.3k,6.1k,81,26,173
Sigma Electric Manufacturing Corporation,Industrial Machinery | 1k-5k Employees | 42 years old | Garner +20 more,4.0,"Company Culture, Skill Development / Learning",Promotions / Appraisal,1.3k,4.1k,49,7,220
Oberoi Group of Hotels,Hospitality | 1k-5k Employees | 90 years old | Delhi/NCR +31 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,1.3k,4.1k,70,5,226
Mother Dairy Fruit & Vegetable,Food Processing | 1k-5k Employees | 50 years old | Noida +110 more,4.2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1.3k,4.7k,53,--,159
Chegg,EdTech | 501-1k Employees | 19 years old | Santa Clara +60 more,4.2,"Work Life Balance, Skill Development / Learning, Company Culture",,1.3k,3.3k,109,44,93
DIVI'S Laboratories,Healthcare | 10k-50k Employees | Public | 34 years old | Hyderabad/Secunderabad +21 more,3.9,Job Security,"Work Satisfaction, Promotions / Appraisal, Company Culture",1.2k,5.8k,56,1,179
Honda Cars,Automobile | 5k-10k Employees | Fortune India 500 | Alwar +85 more,4.3,"Work Life Balance, Company Culture, Work Satisfaction",,1.2k,6.2k,55,--,199
Johnson & Johnson,Pharma | 1k-5k Employees | Forbes Global 2000 | 67 years old | New Brunswick +135 more,4.2,"Company Culture, Skill Development / Learning, Work Life Balance",,1.2k,5.8k,63,39,189
Haier Appliances India,Consumer Electronics & Appliances | 1k-5k Employees | Conglomerate | 20 years old | Qingdao +111 more,4.1,"Salary & Benefits, Skill Development / Learning, Work Life Balance",,1.2k,5.8k,86,6,183
Hyatt Regency,Hospitality | 1k-5k Employees | Forbes Global 2000 | 44 years old | New Delhi +44 more,4.2,"Skill Development / Learning, Company Culture, Job Security",,1.2k,3.5k,32,--,198
Credit Suisse,Financial Services | 10k-50k Employees | 168 years old | Zurich +9 more,4.2,"Work Life Balance, Company Culture, Salary & Benefits",Job Security,1.2k,15.9k,125,49,177
Arvind Group,Fashion & Textile | 10k-50k Employees | Public | 93 years old | Ahmedabad +79 more,4.1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,1.2k,6k,41,37,298
Max Fashion,Retail | 10k-50k Employees | 10 years old | Abu Dhabi +136 more,4.1,"Skill Development / Learning, Job Security, Company Culture",,1.2k,3.5k,41,17,177
Verizon,Telecom | 5k-10k Employees | Forbes Global 2000 | 24 years old | New York City +11 more,4.2,"Salary & Benefits, Company Culture, Work Life Balance",,1.2k,10.9k,66,22,212
Saint-Gobain,Building Material | 10k-50k Employees | Forbes Global 2000 | 359 years old | Paris +84 more,4.0,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,1.2k,8.3k,121,45,258
Tata Communications Transformation Services,Hardware & Networking | 1k-5k Employees | 18 years old | Mumbai +81 more,4.2,"Job Security, Company Culture, Work Life Balance",,1.2k,8.4k,59,--,173
Jindal Saw,Building Material | 5k-10k Employees | Public | 40 years old | Delhi/NCR +61 more,4.0,Job Security,,1.2k,5.3k,75,14,198
Star Union Dai-ichi Life Insurance,Insurance | 1k-5k Employees | 15 years old | Navi Mumbai +221 more,3.9,,,1.2k,4.7k,58,45,100
V-Guard Industries,Consumer Electronics & Appliances | 1k-5k Employees | Public | 47 years old | Kochi/Cochin +127 more,4.4,"Company Culture, Job Security, Work Life Balance",,1.2k,3.5k,31,29,272
Medi Assist India,Insurance | 5k-10k Employees | 24 years old | Bangalore +52 more,3.8,"Promotions / Appraisal, Salary & Benefits",,1.2k,5.9k,71,61,142
Paisabazaar.com,Internet | 1k-5k Employees | Startup | 10 years old | Gurgaon/Gurugram +14 more,3.7,"Job Security, Promotions / Appraisal, Work Satisfaction",,1.2k,5.7k,97,44,97
Exela Technologies,IT Services & Consulting | 1k-5k Employees | 13 years old | Irving +20 more,3.5,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,1.2k,7.4k,55,41,79
DHL Express,Logistics | 1k-5k Employees | Conglomerate | 45 years old | Bonn +81 more,4.1,"Job Security, Company Culture, Work Life Balance",,1.2k,5.8k,41,47,179
CG Power and Industrial Solutions,Electrical Equipment | 1k-5k Employees | Public | 87 years old | Mumbai +82 more,3.9,Job Security,Promotions / Appraisal,1.2k,6.2k,50,41,224
Daikin,Consumer Electronics & Appliances | 1k-5k Employees | Fortune India 500 | 24 years old | Osaka City +86 more,4.2,"Job Security, Company Culture, Work Life Balance",,1.2k,5.6k,75,--,147
HDFC Securities,Financial Services | 1k-5k Employees | Public | 24 years old | Mumbai +162 more,3.6,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",,1.2k,5.3k,80,56,134
Tata Group,IT Services & Consulting | 1 Lakh+ Employees | Conglomerate | 156 years old | Mumbai +151 more,4.3,"Job Security, Company Culture, Work Life Balance",,1.2k,4.3k,329,--,115
Piramal Group,Financial Services | 10k-50k Employees | Fortune India 500 | 44 years old | Mumbai +122 more,4.0,"Skill Development / Learning, Company Culture, Work Life Balance",,1.2k,4.8k,50,182,192
FactSet,Financial Services | 1k-5k Employees | 46 years old | Norwalk +13 more,4.0,"Company Culture, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",1.2k,9.2k,123,40,208
Globiva,BPO | 1k-5k Employees | 7 years old | Gurgaon/Gurugram +16 more,3.2,"Promotions / Appraisal, Salary & Benefits, Job Security",,1.2k,3.9k,66,32,96
Medanta the Medicity,Healthcare | 5k-10k Employees | 15 years old | Gurgaon +33 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,1.2k,4.1k,63,41,153
Aadhar Housing Finance,Financial Services | 1k-5k Employees | 14 years old | Mumbai +245 more,4.1,"Skill Development / Learning, Salary & Benefits, Job Security",,1.2k,3.9k,47,3,104
UBS,Investment Banking / Venture Capital / Private Equity | 5k-10k Employees | Forbes Global 2000 | 9 years old | Zurich +29 more,3.8,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,1.2k,13.6k,116,--,144
Orange Business,IT Services & Consulting | 1k-5k Employees | Forbes Global 2000 | 18 years old | Paris +45 more,4.4,"Job Security, Work Life Balance, Company Culture",,1.2k,8.8k,70,82,247
Haldiram Foods,FMCG | 1k-5k Employees | 54 years old | Nagpur +120 more,4.0,Promotions / Appraisal,,1.2k,5.2k,82,7,100
Nuvoco Vistas,Building Material | 1k-5k Employees | Fortune India 500 | 25 years old | Mumbai +141 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,1.2k,5.3k,60,9,132
Hindustan Petroleum,Oil & Gas | 5k-10k Employees | Central | 50 years old | Mumbai +203 more,4.2,"Salary & Benefits, Skill Development / Learning, Company Culture",,1.2k,5.2k,66,--,152
Relaxo Footwear,Fashion & Textile | 5k-10k Employees | Public | 48 years old | New Delhi +125 more,4.3,"Job Security, Company Culture, Work Satisfaction",,1.2k,3.9k,55,75,147
First American Corporation,IT Services & Consulting | 1k-5k Employees | Forbes Global 2000 | 135 years old | Santa Ana +13 more,3.9,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1.2k,8k,57,33,160
FirstCry,Retail | 1k-5k Employees | Indian Unicorn | 14 years old | Pune +143 more,3.8,"Promotions / Appraisal, Salary & Benefits",,1.2k,6.8k,104,184,86
Morgan Stanley,Financial Services | 10k-50k Employees | Forbes Global 2000 | 93 years old | New York +16 more,3.7,"Promotions / Appraisal, Job Security, Work Satisfaction",,1.2k,18.9k,196,104,163
Aforeserve,IT Services & Consulting | 1k-5k Employees | 24 years old | Noida +147 more,3.5,"Promotions / Appraisal, Salary & Benefits, Job Security",,1.2k,4.2k,41,9,89
Biocon Biologics,Biotechnology | 1k-5k Employees | Public | 46 years old | Bangalore/Bengaluru +30 more,3.8,"Promotions / Appraisal, Work Satisfaction",,1.2k,4.9k,63,29,363
Oracle Cerner,IT Services & Consulting | 5k-10k Employees | Public | 45 years old | Kansas +5 more,3.8,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",1.2k,11.6k,102,--,268
BNP Paribas,Financial Services | 10k-50k Employees | Forbes Global 2000 | 176 years old | Paris +21 more,3.9,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1.2k,12.4k,96,16,188
Aon,Financial Services | 5k-10k Employees | Forbes Global 2000 | 84 years old | London +18 more,4.0,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1.2k,5.6k,39,19,205
Belrise Industries,Auto Components | 10k-50k Employees | 28 years old | Aurangabad +38 more,3.8,"Promotions / Appraisal, Salary & Benefits",,1.2k,6.1k,65,4,102
Emami,Beauty & Personal Care | 1k-5k Employees | Public | 50 years old | Kolkata +148 more,4.0,"Job Security, Work Life Balance",Promotions / Appraisal,1.2k,4.9k,57,13,132
Photon Interactive,IT Services & Consulting | 1k-5k Employees | 25 years old | London +9 more,3.9,"Salary & Benefits, Skill Development / Learning, Work Life Balance",,1.2k,6.5k,49,172,162
IDC Technologies,IT Services & Consulting | 1k-5k Employees | 21 years old | Milpitas +55 more,3.4,"Job Security, Promotions / Appraisal, Skill Development / Learning",,1.2k,7.7k,50,80,49
Exotic Learning,EdTech | 51-200 Employees | 4 years old | Lucknow +141 more,4.5,"Company Culture, Work Life Balance, Skill Development / Learning",,1.2k,368,41,14,183
Security and Intelligence Services (India),Law Enforcement & Security | 1 Lakh+ Employees | Public | 39 years old | Delhi/NCR +155 more,4.1,"Job Security, Work Life Balance, Skill Development / Learning",,1.2k,3.9k,40,24,141
Bata,Fashion & Textile | 1k-5k Employees | Public | 93 years old | Lausanne +117 more,3.9,Skill Development / Learning,Promotions / Appraisal,1.2k,3.8k,46,1,119
Dell EMC,IT Services & Consulting | 5k-10k Employees | 45 years old | Hopkinton +51 more,4.2,"Work Life Balance, Company Culture, Job Security",,1.2k,11.5k,45,1,201
Hindustan Construction Company,Engineering & Construction | 1k-5k Employees | Public | 98 years old | Mumbai +82 more,4.3,"Job Security, Skill Development / Learning, Company Culture",,1.2k,3.7k,59,1,163
Toyota Kirloskar Motor,Automobile | 5k-10k Employees | Fortune India 500 | 27 years old | Bangalore/Bengaluru +70 more,4.4,"Company Culture, Skill Development / Learning, Job Security",,1.2k,3.7k,32,--,172
Fusion BPO Services,BPO | 1k-5k Employees | 20 years old | Kolkata +43 more,3.1,"Promotions / Appraisal, Job Security, Salary & Benefits",,1.2k,3.6k,73,3,100
Marriott International,Hospitality | 10k-50k Employees | Forbes Global 2000 | 97 years old | Bethesda +71 more,4.3,"Skill Development / Learning, Job Security, Company Culture",,1.2k,4.8k,57,439,185
Tesco,Retail | 1k-5k Employees | Forbes Global 2000 | 105 years old | Hertfordshire +14 more,3.9,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",1.1k,8.2k,62,46,194
Narayana Educational Society,Education & Training | 1k-5k Employees | 39 years old | Hyderabad/Secunderabad +129 more,3.7,"Promotions / Appraisal, Salary & Benefits, Company Culture",,1.1k,4k,43,7,119
Faurecia,Auto Components | 1k-5k Employees | 27 years old | Nanterre +25 more,4.0,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal,1.1k,6.4k,47,26,202
KFC,Hospitality | 5k-10k Employees | 72 years old | Louisville +136 more,4.2,"Skill Development / Learning, Job Security, Company Culture",,1.1k,2.7k,44,1,155
FedEx Express,Logistics | 5k-10k Employees | Forbes Global 2000 | 53 years old | 	Moon Township +90 more,4.3,"Company Culture, Work Life Balance, Skill Development / Learning",,1.1k,4k,48,13,191
Mercer,Management Consulting | 1k-5k Employees | 79 years old | New York +17 more,3.8,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",1.1k,9.4k,53,35,245
Trent,Retail | 10k-50k Employees | Public | 26 years old | Mumbai +108 more,4.1,"Job Security, Skill Development / Learning, Company Culture",,1.1k,4k,53,12,135
Trident Group,Fashion & Textile | 10k-50k Employees | Public | 34 years old | Ludhiana +43 more,3.5,Salary & Benefits,"Job Security, Company Culture, Work Life Balance",1.1k,4.9k,62,6,133
Iris Software,IT Services & Consulting | 1k-5k Employees | 33 years old | Edison +16 more,4.2,"Company Culture, Salary & Benefits, Work Life Balance",,1.1k,6.3k,60,65,283
Veritas Finance,NBFC | 1k-5k Employees | Startup | 9 years old | Chennai +258 more,4.7,"Company Culture, Job Security, Work Satisfaction",,1.1k,1.5k,58,--,42
TATA Power,Power | 10k-50k Employees | Public | 113 years old | Mumbai +118 more,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1.1k,6.6k,107,44,150
L.G.Balakrishnan & Bros,Auto Components | 1k-5k Employees | Public | 87 years old | Coimbatore +38 more,3.7,"Salary & Benefits, Promotions / Appraisal, Company Culture",,1.1k,5.3k,44,--,131
